"btype", "mg","ipow","ttc","ptc","psz"
"4","1.0000000000000001e-07","140000000","2.42077","242","8"
"4","1.0000000000000001e-07","140000000","2.27083","227","16"
"4","1.0000000000000001e-07","140000000","2.03","203","32"
"4","1.0000000000000001e-07","140000000","1.66122","166","64"
"4","1.0000000000000001e-07","140000000","1.23","123","128"
"4","1.0000000000000001e-07","140000000","0.802753","80","256"
"4","1.0000000000000001e-07","140000000","0.474801","47","512"
"4","1.0000000000000001e-07","140000000","0.268897","26","1024"
"4","2.0000000000000002e-07","280000000","5.16071","516","1"
"4","2.0000000000000002e-07","280000000","5.12","512","2"
"4","2.0000000000000002e-07","280000000","5.03074","503","4"
"4","2.0000000000000002e-07","280000000","4.87077","487","8"
"4","2.0000000000000002e-07","280000000","4.57083","457","16"
"4","2.0000000000000002e-07","280000000","4.08","408","32"
"4","2.0000000000000002e-07","280000000","3.35122","335","64"
"4","2.0000000000000002e-07","280000000","2.47173","247","128"
"4","2.0000000000000002e-07","280000000","1.62275","162","256"
"4","2.0000000000000002e-07","280000000","0.954801","95","512"
"4","2.0000000000000002e-07","280000000","0.528897","52","1024"
"4","3e-07","420000000","7.76","776","1"
"4","3e-07","420000000","7.69072","769","2"
"4","3e-07","420000000","7.56074","756","4"
"4","3e-07","420000000","7.32","732","8"
"4","3e-07","420000000","6.87083","687","16"
"4","3e-07","420000000","6.13","613","32"
"4","3e-07","420000000","5.03122","503","64"
"4","3e-07","420000000","3.71173","371","128"
"4","3e-07","420000000","2.43275","243","256"
"4","3e-07","420000000","1.4448","144","512"
"4","3e-07","420000000","0.798897","79","1024"
"4","4.0000000000000003e-07","560000000","10.3507","1035","1"
"4","4.0000000000000003e-07","560000000","10.2607","1026","2"
"4","4.0000000000000003e-07","560000000","10.0907","1009","4"
"4","4.0000000000000003e-07","560000000","9.76077","976","8"
"4","4.0000000000000003e-07","560000000","9.17083","917","16"
"4","4.0000000000000003e-07","560000000","8.18","818","32"
"4","4.0000000000000003e-07","560000000","6.72122","672","64"
"4","4.0000000000000003e-07","560000000","4.95173","495","128"
"4","4.0000000000000003e-07","560000000","3.24275","324","256"
"4","4.0000000000000003e-07","560000000","1.9248","192","512"
"4","4.0000000000000003e-07","560000000","1.0589","105","1024"
"4","5e-07","700000000","12.95","1295","1"
"4","5e-07","700000000","12.84","1284","2"
"4","5e-07","700000000","12.6207","1262","4"
"4","5e-07","700000000","12.2108","1221","8"
"4","5e-07","700000000","11.4708","1147","16"
"4","5e-07","700000000","10.23","1023","32"
"4","5e-07","700000000","8.40122","840","64"
"4","5e-07","700000000","6.19173","619","128"
"4","5e-07","700000000","4.06275","406","256"
"4","5e-07","700000000","2.4048","240","512"
"4","5e-07","700000000","1.3289","132","1024"
"4","6e-07","840000000","15.5407","1554","1"
"4","6e-07","840000000","15.4107","1541","2"
"4","6e-07","840000000","15.1507","1515","4"
"4","6e-07","840000000","14.6608","1466","8"
"4","6e-07","840000000","13.7708","1377","16"
"4","6e-07","840000000","12.28","1228","32"
"4","6e-07","840000000","10.0912","1009","64"
"4","6e-07","840000000","7.44173","744","128"
"4","6e-07","840000000","4.87275","487","256"
"4","6e-07","840000000","2.8848","288","512"
"4","6e-07","840000000","1.5989","159","1024"
"4","7.000000000000001e-07","980000000","18.14","1814","1"
"4","7.000000000000001e-07","980000000","17.9807","1798","2"
"4","7.000000000000001e-07","980000000","17.6807","1768","4"
"4","7.000000000000001e-07","980000000","17.1108","1711","8"
"4","7.000000000000001e-07","980000000","16.0708","1607","16"
"4","7.000000000000001e-07","980000000","14.33","1433","32"
"4","7.000000000000001e-07","980000000","11.7712","1177","64"
"4","7.000000000000001e-07","980000000","8.68173","868","128"
"4","7.000000000000001e-07","980000000","5.69275","569","256"
"4","7.000000000000001e-07","980000000","3.3748","337","512"
